"ISSUE_DATE","LATITUDE","LONGITUDE","PropType"
"2014-02-11T00:00:00.000Z",38.964833,-77.004857,"Single Family"
"2014-03-31T00:00:00.000Z",38.964499,-77.004518,"Single Family"
"2013-09-09T00:00:00.000Z",38.963645,-77.004928,"Single Family"
"2014-02-11T00:00:00.000Z",38.964833,-77.004705,"Single Family"
"2014-03-31T00:00:00.000Z",38.964502,-77.004444,"Single Family"
"2013-09-09T00:00:00.000Z",38.963645,-77.004861,"Single Family"
"2014-02-11T00:00:00.000Z",38.964836,-77.004559,"Single Family"
"2014-03-31T00:00:00.000Z",38.964502,-77.004387,"Single Family"
"2013-09-09T00:00:00.000Z",38.963646,-77.004802,"Single Family"
"2015-12-03T00:00:00.000Z",38.888742,-76.93627,"Single Family"
"2014-02-11T00:00:00.000Z",38.964862,-77.004418,"Single Family"
"2014-05-28T00:00:00.000Z",38.917841,-77.088429,"Single Family"
"2015-09-01T00:00:00.000Z",38.918198,-77.088448,"Single Family"
"2015-08-06T00:00:00.000Z",38.918357,-77.088453,"Single Family"
"2014-03-31T00:00:00.000Z",38.964509,-77.004322,"Single Family"
"2013-09-09T00:00:00.000Z",38.963642,-77.004731,"Single Family"
"2014-02-11T00:00:00.000Z",38.964884,-77.004269,"Single Family"
"2014-03-31T00:00:00.000Z",38.964509,-77.004257,"Single Family"
"2014-02-11T00:00:00.000Z",38.964903,-77.004126,"Single Family"
"2014-03-31T00:00:00.000Z",38.964514,-77.004174,"Single Family"
"2014-04-08T00:00:00.000Z",38.964931,-77.003975,"Single Family"
"2014-03-31T00:00:00.000Z",38.964518,-77.00412,"Single Family"
"2014-03-31T00:00:00.000Z",38.96454,-77.004055,"Single Family"
"2014-03-31T00:00:00.000Z",38.964541,-77.003998,"Single Family"
"2015-06-03T00:00:00.000Z",38.968842,-77.015603,"Single Family"
"2015-04-02T00:00:00.000Z",38.863911,-76.987192,"Single Family"
"2015-04-02T00:00:00.000Z",38.863836,-76.987216,"Single Family"
"2015-12-03T00:00:00.000Z",38.888679,-76.936254,"Single Family"
"2012-02-07T00:00:00.000Z",38.921149,-77.095786,"Single Family"
"2012-02-09T00:00:00.000Z",38.92129,-77.095855,"Single Family"
"2014-05-09T00:00:00.000Z",38.922297,-77.095281,"Single Family"
"2014-08-07T00:00:00.000Z",38.922328,-76.955401,"Single Family"
"2014-08-22T00:00:00.000Z",38.922272,-76.955462,"Single Family"
"2014-08-07T00:00:00.000Z",38.92221,-76.955524,"Single Family"
"2014-08-07T00:00:00.000Z",38.922146,-76.955589,"Single Family"
"2014-08-07T00:00:00.000Z",38.922099,-76.95564,"Single Family"
"2014-08-21T00:00:00.000Z",38.922037,-76.955705,"Single Family"
"2014-08-07T00:00:00.000Z",38.92199,-76.955758,"Single Family"
"2014-04-01T00:00:00.000Z",38.924686,-76.971601,"Single Family"
"2014-08-07T00:00:00.000Z",38.921922,-76.955831,"Single Family"
"2014-06-12T00:00:00.000Z",38.92215,-76.955997,"Single Family"
"2014-06-12T00:00:00.000Z",38.922202,-76.955934,"Single Family"
"2014-06-12T00:00:00.000Z",38.922261,-76.955876,"Single Family"
"2012-07-11T00:00:00.000Z",38.92539,-76.971089,"Single Family"
"2014-06-12T00:00:00.000Z",38.922312,-76.955809,"Single Family"
"2014-06-12T00:00:00.000Z",38.922362,-76.955751,"Single Family"
"2014-06-12T00:00:00.000Z",38.922419,-76.955688,"Single Family"
"2014-06-12T00:00:00.000Z",38.922473,-76.955633,"Single Family"
"2014-04-30T00:00:00.000Z",38.922698,-76.955938,"Single Family"
"2014-04-30T00:00:00.000Z",38.922641,-76.956006,"Single Family"
"2014-04-30T00:00:00.000Z",38.922577,-76.956064,"Single Family"
"2014-04-30T00:00:00.000Z",38.922519,-76.956119,"Single Family"
"2014-04-30T00:00:00.000Z",38.922466,-76.956175,"Single Family"
"2014-04-30T00:00:00.000Z",38.92241,-76.956238,"Single Family"
"2014-04-30T00:00:00.000Z",38.922359,-76.9563,"Single Family"
"2014-05-01T00:00:00.000Z",38.922293,-76.956353,"Single Family"
"2014-03-28T00:00:00.000Z",38.922463,-76.956585,"Single Family"
"2014-03-28T00:00:00.000Z",38.922519,-76.956527,"Single Family"
"2014-03-28T00:00:00.000Z",38.922577,-76.956459,"Single Family"
