"","Address","Zip","List.Price","Close.Price","BRs","Bas","Half.BA","CloseDate","Date","year","month","MY","StrAddress"
"27675","915 3RD ST NE #1",20002,509900,530000,"2","3","0","5/28/15",2015-05-28,2015,5,"2015 5","915 3RD ST NE"
"27676","915 3RD ST NE #2 PH",20002,669900,669000,"3","3","0","4/16/14",2014-04-16,2014,4,"2014 4","915 3RD ST NE"
"27677","915 4TH ST SE",20003,835000,825000,"3","3","1","1/20/12",2012-01-20,2012,1,"2012 1","915 4TH ST SE"
"27678","915 5TH ST SE",20003,534500,535000,"3","1","1","7/15/14",2014-07-15,2014,7,"2014 7","915 5TH ST SE"
"27679","915 6TH ST NE",20002,635000,650000,"4","2","0","1/7/15",2015-01-07,2015,1,"2015 1","915 6TH ST NE"
"27680","915 9TH ST NE",20002,450000,450000,"3","3","0","3/12/13",2013-03-12,2013,3,"2013 3","915 9TH ST NE"
"27681","915 9TH ST NE",20002,799000,750000,"3","2","1","3/7/14",2014-03-07,2014,3,"2014 3","915 9TH ST NE"
"27682","915 C ST SE",20003,775000,775000,"2","2","1","7/21/14",2014-07-21,2014,7,"2014 7","915 C ST SE"
"27683","915 E ST NW #1002",20004,418000,407000,"1","1","0","8/24/15",2015-08-24,2015,8,"2015 8","915 E ST NW"
"27684","915 E ST NW #1005",20004,599900,590000,"2","2","0","12/16/11",2011-12-16,2011,12,"2011 12","915 E ST NW"
"27685","915 E ST NW #1008",20004,414900,412400,"1","1","0","4/7/14",2014-04-07,2014,4,"2014 4","915 E ST NW"
"27686","915 E ST NW #1013",20004,4e+05,414000,"1","1","0","8/31/15",2015-08-31,2015,8,"2015 8","915 E ST NW"
"27687","915 E ST NW #1014",20004,399900,399900,"1","1","0","12/23/13",2013-12-23,2013,12,"2013 12","915 E ST NW"
"27688","915 E ST NW #104",20004,239000,230000,"0","1","0","1/27/12",2012-01-27,2012,1,"2012 1","915 E ST NW"
"27689","915 E ST NW #1107",20004,389000,434000,"1","1","0","8/26/13",2013-08-26,2013,8,"2013 8","915 E ST NW"
"27690","915 E ST NW #1110",20004,409000,407000,"1","1","0","11/26/14",2014-11-26,2014,11,"2014 11","915 E ST NW"
"27691","915 E ST NW #1111",20004,415000,407500,"1","1","0","8/31/14",2014-08-31,2014,8,"2014 8","915 E ST NW"
"27692","915 E ST NW #1112",20004,375000,385000,"1","1","0","8/17/15",2015-08-17,2015,8,"2015 8","915 E ST NW"
"27693","915 E ST NW #1113",20004,485000,460000,"2","1","0","3/9/12",2012-03-09,2012,3,"2012 3","915 E ST NW"
"27694","915 E ST NW #1212",20004,424900,415000,"1","1","0","11/13/14",2014-11-13,2014,11,"2014 11","915 E ST NW"
"27695","915 E ST NW #1213",20004,485000,470000,"2","1","0","8/19/11",2011-08-19,2011,8,"2011 8","915 E ST NW"
"27696","915 E ST NW #203",20004,389900,390000,"1","1","0","2/27/14",2014-02-27,2014,2,"2014 2","915 E ST NW"
"27697","915 E ST NW #301",20004,389000,378500,"1","1","0","8/8/13",2013-08-08,2013,8,"2013 8","915 E ST NW"
"27698","915 E ST NW #305",20004,619000,590000,"2","2","0","7/29/11",2011-07-29,2011,7,"2011 7","915 E ST NW"
"27699","915 E ST NW #306",20004,279000,279000,"0","1","0","6/27/14",2014-06-27,2014,6,"2014 6","915 E ST NW"
"27700","915 E ST NW #309",20004,409900,399999,"1","1","0","2/27/13",2013-02-27,2013,2,"2013 2","915 E ST NW"
"27701","915 E ST NW #312",20004,329900,344800,"1","1","0","12/12/11",2011-12-12,2011,12,"2011 12","915 E ST NW"
"27702","915 E ST NW #317",20004,375000,368000,"1","1","0","9/5/12",2012-09-05,2012,9,"2012 9","915 E ST NW"
"27703","915 E ST NW #402",20004,369900,352000,"1","1","0","9/6/12",2012-09-06,2012,9,"2012 9","915 E ST NW"
"27704","915 E ST NW #407",20004,374900,374000,"1","1","0","3/14/14",2014-03-14,2014,3,"2014 3","915 E ST NW"
"27705","915 E ST NW #408",20004,459900,460000,"1","1","0","8/10/15",2015-08-10,2015,8,"2015 8","915 E ST NW"
"27706","915 E ST NW #412",20004,399500,399900,"1","1","0","9/29/14",2014-09-29,2014,9,"2014 9","915 E ST NW"
"27707","915 E ST NW #413",20004,999000,1015000,"3","2","1","5/29/15",2015-05-29,2015,5,"2015 5","915 E ST NW"
"27708","915 E ST NW #508",20004,429000,410000,"2","1","0","5/17/12",2012-05-17,2012,5,"2012 5","915 E ST NW"
"27709","915 E ST NW #511",20004,369000,370000,"1","1","0","7/2/12",2012-07-02,2012,7,"2012 7","915 E ST NW"
"27710","915 E ST NW #514",20004,379000,379000,"1","1","0","2/8/13",2013-02-08,2013,2,"2013 2","915 E ST NW"
"27711","915 E ST NW #515",20004,499000,489000,"1","1","0","5/20/14",2014-05-20,2014,5,"2014 5","915 E ST NW"
"27712","915 E ST NW #610",20004,449950,439500,"1","1","0","4/17/15",2015-04-17,2015,4,"2015 4","915 E ST NW"
"27713","915 E ST NW #611",20004,370000,363000,"1","1","0","9/6/11",2011-09-06,2011,9,"2011 9","915 E ST NW"
"27714","915 E ST NW #703",20004,335000,334000,"1","1","0","6/5/12",2012-06-05,2012,6,"2012 6","915 E ST NW"
"27715","915 E ST NW #712",20004,359900,349000,"1","1","0","9/28/11",2011-09-28,2011,9,"2011 9","915 E ST NW"
"27716","915 E ST NW #714",20004,450000,445000,"1","1","0","9/18/15",2015-09-18,2015,9,"2015 9","915 E ST NW"
"27717","915 E ST NW #801",20004,385000,385000,"1","1","0","11/22/12",2012-11-22,2012,11,"2012 11","915 E ST NW"
"27718","915 E ST NW #802",20004,409000,405000,"1","1","0","8/15/12",2012-08-15,2012,8,"2012 8","915 E ST NW"
"27719","915 E ST NW #807",20004,399900,4e+05,"1","1","0","8/22/14",2014-08-22,2014,8,"2014 8","915 E ST NW"
"27720","915 E ST NW #905",20004,599900,599900,"2","2","0","7/18/12",2012-07-18,2012,7,"2012 7","915 E ST NW"
