ID,Address,Match,MatchDetail,AddressMatch,Long,Lat,LR
116,"1405 RIDGEVIEW WAY NW, Washington, DC, 20007",No_Match,,,-77.0856176,38.9070987,
117,"1414 COLUMBIA ST NW, Washington, DC, 20001",Match,Exact,"1414 Columbia St NW, WASHINGTON, DC, 20001","-77.024994,38.908764",76226107,L
118,"1416 RIDGE PL SE, Washington, DC, 20020",Match,Exact,"1416 Ridge Pl SE, WASHINGTON, DC, 20020","-76.984764,38.86886",76231142,L
119,"1419 G ST NE, Washington, DC, 20002",Match,Exact,"1419 G St NE, WASHINGTON, DC, 20002","-76.984825,38.898895",76230410,R
120,"1419 G ST NE, Washington, DC, 20002",Match,Exact,"1419 G St NE, WASHINGTON, DC, 20002","-76.984825,38.898895",76230410,R
121,"1420 CORCORAN ST NW, Washington, DC, 20009",Match,Exact,"1420 Corcoran St NW, WASHINGTON, DC, 20009","-77.032555,38.911854",76225681,L
122,"1420 MADISON ST NW, Washington, DC, 20011",Match,Exact,"1420 Madison St NW, WASHINGTON, DC, 20011","-77.033844,38.958336",76222300,L
123,"1420 MADISON ST NW, Washington, DC, 20011",Match,Exact,"1420 Madison St NW, WASHINGTON, DC, 20011","-77.033844,38.958336",76222300,L
124,"1420 MORSE ST NE, Washington, DC, 20002",Match,Exact,"1420 Morse St NE, WASHINGTON, DC, 20002","-76.98417,38.90136",76230238,L
125,"1420 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1420 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98498,38.90508",76230216,L
126,"1421 1ST ST NW, Washington, DC, 20001",Match,Exact,"1421 1st St NW, WASHINGTON, DC, 20001","-77.012146,38.90882",76226499,R
127,"1425 C ST NE, Washington, DC, 20002",Match,Exact,"1425 C St NE, WASHINGTON, DC, 20002","-76.98479,38.893562",76230353,R
128,"1429 IVES PL SE, Washington, DC, 20003",Match,Exact,"1429 Ives Pl SE, WASHINGTON, DC, 20003","-76.98494,38.879097",76230988,R
129,"1430 S ST SE, Washington, DC, 20020",Match,Exact,"1430 S St SE, WASHINGTON, DC, 20020","-76.98459,38.86824",76231145,L
130,"1430 V ST SE, Washington, DC, 20020",Match,Exact,"1430 V St SE, WASHINGTON, DC, 20020","-76.985,38.86495",76231113,L
