ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
6195,"511 COLUMBIA RD NW, Washington, DC, 20001",Match,Exact,"511 Columbia Rd NW, WASHINGTON, DC, 20001","-77.01974,38.92853",76224216,R
135,"1052 48TH ST NE, Washington, DC, 20019",Match,Exact,"1052 48th St NE, WASHINGTON, DC, 20019","-76.93378,38.90413",76233358,L
863,"1324 LONGFELLOW ST NW, Washington, DC, 20011",Match,Exact,"1324 Longfellow St NW, WASHINGTON, DC, 20011","-77.03109,38.957268",76223267,L
3360,"2847 MILLS AVE NE, Washington, DC, 20018",Match,Exact,"2847 Mills Ave NE, WASHINGTON, DC, 20018","-76.97263,38.926582",76229205,R
5005,"419 M ST NE, Washington, DC, 20002",Match,Exact,"419 M St NE, WASHINGTON, DC, 20002","-77.00034,38.90563",76229714,R
6989,"612 FARRAGUT PL NE, Washington, DC, 20017",Match,Exact,"612 Farragut Pl NE, WASHINGTON, DC, 20017","-76.99773,38.95128",76228095,L
6794,"5721 6TH ST NW, Washington, DC, 20011",Match,Exact,"5721 6th St NW, WASHINGTON, DC, 20011","-77.02116,38.95928",76223348,R
450,"1216 34TH PL SE, Washington, DC, 20019",Match,Exact,"1216 34th Pl SE, WASHINGTON, DC, 20019","-76.95638,38.875706",76232013,L
7475,"714 KENNEDY ST NE, Washington, DC, 20011",Match,Exact,"714 Kennedy St NE, WASHINGTON, DC, 20011","-76.99683,38.957287",76228082,L
5206,"4314 3RD ST NW, Washington, DC, 20011",Match,Exact,"4314 3rd St NW, WASHINGTON, DC, 20011","-77.01549,38.943424",76223924,L
7274,"6439 2ND PL NW, Washington, DC, 20012",Match,Exact,"6439 2nd Pl NW, WASHINGTON, DC, 20012","-77.01505,38.967823",76222060,R
2877,"2261 16TH ST NE, Washington, DC, 20018",Match,Exact,"2261 16th St NE, WASHINGTON, DC, 20018","-76.98108,38.919827",76228995,R
2227,"1815 EAST CAPITOL ST SE, Washington, DC, 20003",Match,Exact,"1815 E Capitol St SE, WASHINGTON, DC, 20003","-76.97868,38.889786",76231382,R
5012,"420 5TH ST NE, Washington, DC, 20002",Match,Exact,"420 5th St NE, WASHINGTON, DC, 20002","-76.99953,38.8951",76229849,L
459,"1218 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1218 Florida Ave NE, WASHINGTON, DC, 20002","-76.989624,38.902523",76230137,L
145,"107 13TH ST SE, Washington, DC, 20003",Match,Exact,"107 13th St SE, WASHINGTON, DC, 20003","-76.988335,38.888905",76230398,R
856,"1322 WALLACH PL NW, Washington, DC, 20009",Match,Exact,"1322 Wallach Pl NW, WASHINGTON, DC, 20009","-77.03021,38.91627",76223205,L
7468,"713 5TH ST NE, Washington, DC, 20002",Match,Exact,"713 5th St NE, WASHINGTON, DC, 20002","-76.99949,38.89912",76229731,R
3370,"29 7TH ST NE, Washington, DC, 20002",Match,Exact,"29 7th St NE, WASHINGTON, DC, 20002","-76.996155,38.890152",76230013,R
6996,"6121 WESTERN AVE NW, Washington, DC, 20015",Match,Exact,"6121 Western Ave NW, WASHINGTON, DC, 20015","-77.072685,38.970947",62106497,R
5903,"4907 CENTRAL AVE NE, Washington, DC, 20019",Match,Exact,"4907 Central Ave NE, WASHINGTON, DC, 20019","-76.9327,38.890438",76233585,R
7267,"643 20TH ST NE, Washington, DC, 20002",Match,Exact,"643 20th St NE, WASHINGTON, DC, 20002","-76.97596,38.897007",76231329,R
2238,"1816 GAINESVILLE ST SE, Washington, DC, 20020",Match,Exact,"1816 Gainesville St SE, WASHINGTON, DC, 20020","-76.97876,38.855175",76232711,L
2864,"2250 38TH ST SE, Washington, DC, 20020",Match,Exact,"2250 38th St SE, WASHINGTON, DC, 20020","-76.9522,38.86258",76233744,L
7260,"6420 7TH ST NW, Washington, DC, 20012",Match,Exact,"6420 7th St NW, WASHINGTON, DC, 20012","-77.02247,38.968002",76221958,L
2645,"2108 16TH ST SE, Washington, DC, 20020",Match,Exact,"2108 16th St SE, WASHINGTON, DC, 20020","-76.98244,38.86436",76231192,L
2092,"1739 HOLBROOK ST NE, Washington, DC, 20002",Match,Exact,"1739 Holbrook St NE, WASHINGTON, DC, 20002","-76.98074,38.907322",76230208,R
683,"129 RANDOLPH PL NW, Washington, DC, 20001",Match,Exact,"129 Randolph Pl NW, WASHINGTON, DC, 20001","-77.01275,38.91336",76224631,R
6160,"5097 JUST ST NE, Washington, DC, 20019",Match,Exact,"5097 Just St NE, WASHINGTON, DC, 20019","-76.92769,38.902645",76233395,R
3147,"2523 Q ST NW, Washington, DC, 20007",Match,Exact,"2523 Q St NW, WASHINGTON, DC, 20007","-77.05293,38.910614",76235348,R
7297,"649 EMERSON ST NE, Washington, DC, 20017",Match,Exact,"649 Emerson St NE, WASHINGTON, DC, 20017","-76.99753,38.95003",76228160,R
2099,"1741 INDEPENDENCE AVE SE, Washington, DC, 20003",Match,Exact,"1741 Independence Ave SE, WASHINGTON, DC, 20003","-76.98003,38.887577",76230530,R
3336,"2819 KANAWHA ST NW, Washington, DC, 20015",Match,Exact,"2819 Kanawha St NW, WASHINGTON, DC, 20015","-77.05749,38.964314",76219429,R
6973,"6100 NEBRASKA AVE NW, Washington, DC, 20015",Match,Exact,"6100 Nebraska Ave NW, WASHINGTON, DC, 20015","-77.05582,38.9698",76221417,L
3343,"2825 31ST ST NW, Washington, DC, 20008",Match,Exact,"2825 31st St NW, WASHINGTON, DC, 20008","-77.061264,38.926556",76239449,R
3537,"3024 Q ST SE, Washington, DC, 20020",Match,Exact,"3024 Q St SE, WASHINGTON, DC, 20020","-76.964134,38.8718",76232024,L
6966,"610 NICHOLSON ST NE, Washington, DC, 20011",Match,Exact,"610 Nicholson St NE, WASHINGTON, DC, 20011","-76.99748,38.95912",76228073,L
2293,"1830 IRVING ST NW, Washington, DC, 20010",Match,Exact,"1830 Irving St NW, WASHINGTON, DC, 20010","-77.04232,38.928806",611396897,L
3155,"254 14TH ST NE, Washington, DC, 20002",Match,Exact,"254 14th St NE, WASHINGTON, DC, 20002","-76.98553,38.892868",76230352,L
1526,"1516 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1516 Constitution Ave NE, WASHINGTON, DC, 20002","-76.98336,38.89202",76230488,L
7686,"763 HOBART PL NW, Washington, DC, 20001",Match,Exact,"763 Hobart Pl NW, WASHINGTON, DC, 20001","-77.02402,38.92754",76224187,R
882,"1327 WEST VIRGINIA AVE NE, Washington, DC, 20002",Match,Exact,"1327 West Virginia Ave NE, WASHINGTON, DC, 20002","-76.991035,38.905807",76230072,R
7281,"645 14TH PL NE, Washington, DC, 20002",Match,Exact,"645 14th Pl NE, WASHINGTON, DC, 20002","-76.98455,38.89805",76230411,R
2652,"211 KENNEDY ST NW, Washington, DC, 20011",Match,Exact,"211 Kennedy St NW, WASHINGTON, DC, 20011","-77.01435,38.956535",76237743,R
674,"128 13TH ST SE, Washington, DC, 20003",Match,Exact,"128 13th St SE, WASHINGTON, DC, 20003","-76.9883,38.888744",76230398,L
3138,"2519 MINNESOTA AVE SE, Washington, DC, 20020",Match,Exact,"2519 Minnesota Ave SE, WASHINGTON, DC, 20020","-76.9696,38.874",76231678,R
6980,"6113 14TH ST NW, Washington, DC, 20011",Match,Exact,"6113 14th St NW, WASHINGTON, DC, 20011","-77.0334,38.96424",76221644,R
7288,"647 MORTON PL NE, Washington, DC, 20002",Match,Exact,"647 Morton Pl NE, WASHINGTON, DC, 20002","-76.99737,38.904385",76229755,R
4192,"3414 O ST NW, Washington, DC, 20007",Match,Exact,"3414 O St NW, WASHINGTON, DC, 20007","-77.06805,38.90774",76224828,L
6152,"509 7TH SE, Washington, DC, 20003",Match,Non_Exact,"509 7th St SE, WASHINGTON, DC, 20003","-76.9962,38.88246",76235811,R
1793,"1625 GALES ST NE, Washington, DC, 20002",Match,Exact,"1625 Gales St NE, WASHINGTON, DC, 20002","-76.98127,38.898376",76230452,R
3351,"2840 BELAIR PL NE, Washington, DC, 20018",Match,Exact,"2840 Belair Pl NE, WASHINGTON, DC, 20018","-76.97214,38.927017",76229207,L
1512,"1513 MORRIS RD SE, Washington, DC, 20020",Match,Exact,"1513 Morris Rd SE, WASHINGTON, DC, 20020","-76.98527,38.85832",76232434,R
4830,"403 G ST NE, Washington, DC, 20002",Match,Exact,"403 G St NE, WASHINGTON, DC, 20002","-77.0005,38.8989",76229835,R
3545,"3029 CLINTON ST NE, Washington, DC, 20018",Match,Exact,"3029 Clinton St NE, WASHINGTON, DC, 20018","-76.964584,38.931225",76229479,R
7693,"767 KENNEDY ST NE, Washington, DC, 20011",Match,Exact,"767 Kennedy St NE, WASHINGTON, DC, 20011","-76.99491,38.95726",76228082,R
871,"1326 ALLISON ST NE, Washington, DC, 20017",Match,Exact,"1326 Allison St NE, WASHINGTON, DC, 20017","-76.98812,38.945263",76228291,L
4839,"404 10TH ST SE, Washington, DC, 20003",Match,Exact,"404 10th St SE, WASHINGTON, DC, 20003","-76.99263,38.884",76230695,L
4185,"3411 20TH ST NE, Washington, DC, 20018",Match,Exact,"3411 20th St NE, WASHINGTON, DC, 20018","-76.976204,38.93227",76229136,R
3997,"330 TAYLOR ST NW, Washington, DC, 20011",Match,Exact,"330 Taylor St NW, WASHINGTON, DC, 20011","-77.01639,38.94105",76223934,L
2622,"209 RHODE ISLAND AVE NE, Washington, DC, 20002",Match,Exact,"209 Rhode Island Ave NE, WASHINGTON, DC, 20002","-77.00333,38.918777",76228577,R
2629,"210 11TH ST SE, Washington, DC, 20003",Match,Exact,"210 11th St SE, WASHINGTON, DC, 20003","-76.99151,38.887283",76230069,L
3313,"2812 DUMBARTON ST NW, Washington, DC, 20007",Match,Non_Exact,"2812 Dumbarton Ave NW, WASHINGTON, DC, 20007","-77.05724,38.907677",76225001,L
6950,"609 14TH ST NE, Washington, DC, 20002",Match,Exact,"609 14th St NE, WASHINGTON, DC, 20002","-76.98549,38.897526",76230324,R
