ID,Address,Match,Match Detail,AddMatch,LongLat,N,LR
1112,"1383 FLORIDA AVE NE, Washington, DC, 20002",Match,Exact,"1383 Florida Ave NE, WASHINGTON, DC, 20002","-76.98601,38.90095",76230170,R
1121,"139 E ST SE, Washington, DC, 20003",Match,Exact,"139 E St SE, WASHINGTON, DC, 20003","-77.00468,38.88322",76242641,R
1131,"14 BRYANT ST NE, Washington, DC, 20002",Match,Exact,"14 Bryant St NE, WASHINGTON, DC, 20002","-77.0088,38.92132",76224672,L
1139,"1401 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"1401 Ingraham St NW, WASHINGTON, DC, 20011","-77.03351,38.9541",76222324,R
1147,"1404 OTIS ST NE, Washington, DC, 20017",Match,Exact,"1404 Otis St NE, WASHINGTON, DC, 20017","-76.98632,38.93477",76228786,L
1156,"1406 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"1406 Delafield Pl NW, WASHINGTON, DC, 20011","-77.03291,38.948982",76222429,L
1163,"1407 COLUMBIA ST NW, Washington, DC, 20001",Match,Exact,"1407 Columbia St NW, WASHINGTON, DC, 20001","-77.02496,38.908688",76226107,R
1170,"1408 ORREN ST NE, Washington, DC, 20002",Match,Exact,"1408 Orren St NE, WASHINGTON, DC, 20002","-76.98471,38.904076",76230218,L
1177,"1409 RIDGE PL SE, Washington, DC, 20020",Match,Exact,"1409 Ridge Pl SE, WASHINGTON, DC, 20020","-76.98487,38.86883",76231142,R
1184,"1411 30TH ST NW, Washington, DC, 20007",Match,Exact,"1411 30th St NW, WASHINGTON, DC, 20007","-77.059204,38.908607",76224967,R
1191,"1412 29TH ST NW, Washington, DC, 20007",Match,Exact,"1412 29th St NW, WASHINGTON, DC, 20007","-77.05819,38.908634",76224986,L
1198,"1413 33RD ST NW, Washington, DC, 20007",Match,Exact,"1413 33rd St NW, WASHINGTON, DC, 20007","-77.066055,38.907955",76224874,R
1207,"1415 1ST ST NW, Washington, DC, 20001",Match,Exact,"1415 1st St NW, WASHINGTON, DC, 20001","-77.012146,38.90876",76226499,R
1214,"1416 INGRAHAM ST NW, Washington, DC, 20011",Match,Exact,"1416 Ingraham St NW, WASHINGTON, DC, 20011","-77.03375,38.95407",76222324,L
1223,"1417 PARKWOOD PL NW, Washington, DC, 20010",Match,Exact,"1417 Parkwood Pl NW, WASHINGTON, DC, 20010","-77.03307,38.93568",76222941,R
1232,"1419 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1419 Shepherd St NW, WASHINGTON, DC, 20011","-77.03312,38.939754",76222477,R
1239,"142 SEATON PL NW, Washington, DC, 20001",Match,Exact,"142 Seaton Pl NW, WASHINGTON, DC, 20001","-77.01313,38.914814",76224624,L
1253,"1421 FOXHALL RD NW, Washington, DC, 20007",Match,Exact,"1421 Foxhall Rd NW, WASHINGTON, DC, 20007","-77.0815,38.907425",76242748,R
1261,"1422 MADISON ST NW, Washington, DC, 20011",Match,Exact,"1422 Madison St NW, WASHINGTON, DC, 20011","-77.033875,38.958336",76222300,L
1268,"1424 IRIS ST NW, Washington, DC, 20012",Match,Exact,"1424 Iris St NW, WASHINGTON, DC, 20012","-77.033875,38.98227",76221525,L
1276,"1425 W ST NW, Washington, DC, 20009",Match,Exact,"1425 W St NW, WASHINGTON, DC, 20009","-77.03267,38.9192",76240557,R
1283,"1426 MERIDIAN PL NW, Washington, DC, 20010",Match,Exact,"1426 Meridian Pl NW, WASHINGTON, DC, 20010","-77.03362,38.933514",76222945,L
1290,"1427 MONROE ST NE, Washington, DC, 20017",Match,Exact,"1427 Monroe St NE, WASHINGTON, DC, 20017","-76.98581,38.932785",76228795,R
1297,"1428 PERRY PL NW, Washington, DC, 20010",No_Match,,,"38.9364222,-77.036249",,
1306,"1430 FLORIDA AVE NW, Washington, DC, 20009",Match,Exact,"1430 Florida Ave NW, WASHINGTON, DC, 20009","-77.03288,38.919846",76223158,L
1318,"1431 EAST CAPITOL ST SE, Washington, DC, 20003",Match,Exact,"1431 E Capitol St SE, WASHINGTON, DC, 20003","-76.9849,38.88979",76230493,R
1325,"1432 NEWTON ST NW, Washington, DC, 20010",Match,Exact,"1432 Newton St NW, WASHINGTON, DC, 20010","-77.03348,38.932117",76222858,L
1332,"1434 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1434 Monroe St NW, WASHINGTON, DC, 20010","-77.03363,38.931503",611109805,L
1341,"1435 R ST NW, Washington, DC, 20009",Match,Exact,"1435 R St NW, WASHINGTON, DC, 20009","-77.03347,38.912624",76223198,R
1348,"1436 IVES PL SE, Washington, DC, 20003",Match,Exact,"1436 Ives Pl SE, WASHINGTON, DC, 20003","-76.9848,38.879128",76230988,L
1355,"1438 CORCORAN ST NW, Washington, DC, 20009",Match,Exact,"1438 Corcoran St NW, WASHINGTON, DC, 20009","-77.03299,38.911854",76225681,L
1362,"144 U ST NE, Washington, DC, 20002",Match,Exact,"144 U St NE, WASHINGTON, DC, 20002","-77.00475,38.91701",76228607,L
1369,"1441 ROCK CREEK FORD RD NW, Washington, DC, 20011",Match,Exact,"1441 Rock Creek Ford Rd NW, WASHINGTON, DC, 20011","-77.03447,38.963646",76221646,R
1376,"1443 ROCK CREEK FORD RD NW, Washington, DC, 20011",Match,Exact,"1443 Rock Creek Ford Rd NW, WASHINGTON, DC, 20011","-77.034515,38.96367",76221646,R
1383,"1448 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1448 Monroe St NW, WASHINGTON, DC, 20010","-77.033936,38.931618",611109805,L
1390,"1452 EUCLID ST NW, Washington, DC, 20009",Match,Exact,"1452 Euclid St NW, WASHINGTON, DC, 20009","-77.033844,38.923492",76223147,L
1397,"1458 HOWARD RD SE, Washington, DC, 20020",Match,Exact,"1458 Howard Rd SE, WASHINGTON, DC, 20020","-76.98715,38.858315",76232405,L
1405,"146 RANDOLPH PL NW, Washington, DC, 20001",Match,Exact,"146 Randolph Pl NW, WASHINGTON, DC, 20001","-77.01307,38.91333",76224631,L
1412,"1466 MORRIS RD SE, Washington, DC, 20020",Match,Exact,"1466 Morris Rd SE, WASHINGTON, DC, 20020","-76.985855,38.85877",76232410,L
1421,"148 BRYANT ST NW, Washington, DC, 20001",Match,Exact,"148 Bryant St NW, WASHINGTON, DC, 20001","-77.01348,38.92096",76224582,L
1428,"15 9TH ST NE, Washington, DC, 20002",Match,Exact,"15 9th St NE, WASHINGTON, DC, 20002","-76.993744,38.890007",76230042,R
1439,"1500 FARRAGUT ST NW, Washington, DC, 20011",Match,Exact,"1500 Farragut St NW, WASHINGTON, DC, 20011","-77.034874,38.950783",76222329,L
1449,"1503 FREEDOM WAY SE, Washington, DC, 20003",Match,Non_Exact,"1503 Freedom Way, WASHINGTON, DC, 20003","-76.98341,38.88098",623834479,R
1456,"1505 C ST SE, Washington, DC, 20003",Match,Exact,"1505 C St SE, WASHINGTON, DC, 20003","-76.98353,38.885338",76230937,R
1465,"1507 8TH ST NW, Washington, DC, 20001",Match,Exact,"1507 8th St NW, WASHINGTON, DC, 20001","-77.02293,38.9098",76226198,R
1472,"1508 DUMBARTON ROCK CT NW, Washington, DC, 20007",Match,Exact,"1508 Dumbarton Rock Ct NW, WASHINGTON, DC, 20007","-77.06082,38.909355",76224960,L
1480,"1509 IRVING ST NE, Washington, DC, 20017",Match,Exact,"1509 Irving St NE, WASHINGTON, DC, 20017","-76.98391,38.928917",76228838,R
1489,"1510 MASSACHUSETTS AVE SE, Washington, DC, 20003",Match,Exact,"1510 Massachusetts Ave SE, WASHINGTON, DC, 20003","-76.983444,38.887054",76230509,L
1497,"1511 FORT DAVIS ST SE, Washington, DC, 20020",Match,Exact,"1511 Fort Davis St SE, WASHINGTON, DC, 20020","-76.94666,38.868843",76233764,R
1504,"1512 QUEEN ST NE, Washington, DC, 20002",Match,Exact,"1512 Queen St NE, WASHINGTON, DC, 20002","-76.98203,38.905106",76230230,L
1517,"1514 V ST SE, Washington, DC, 20020",Match,Exact,"1514 V St SE, WASHINGTON, DC, 20020","-76.98347,38.864677",76231180,L
