"","ShorterSales$Address","city","state","zip"
"428","3540 WINFIELD LN NW","Washington","DC",20007
"429","3543 HERTFORD PL NW","Washington","DC",20010
"430","36 18TH ST SE","Washington","DC",20003
"431","3610 MACOMB ST NW","Washington","DC",20016
"432","3615 11TH ST NW","Washington","DC",20010
"433","3615 MARTIN LUTHER KING JR AVE SE","Washington","DC",20032
"434","3631 TILDEN ST NW","Washington","DC",20008
"435","3633 WINFIELD LN NW","Washington","DC",20007
"436","3642 PARK PL NW","Washington","DC",20010
"437","3661 13TH ST NW","Washington","DC",20010
"438","3703 CARPENTER ST SE","Washington","DC",20020
"439","3709 26TH ST NE","Washington","DC",20018
"440","3721 18TH ST NE","Washington","DC",20018
"441","38 MILMARSON PL NW","Washington","DC",20011
"442","3806 MILITARY RD NW","Washington","DC",20015
"443","3809 7TH ST NW","Washington","DC",20011
"444","3812 25TH PL NE","Washington","DC",20018
"445","3816 MILITARY RD NW","Washington","DC",20015
"446","3817 KANSAS AVE NW","Washington","DC",20011
"447","3831 GARFIELD ST NW","Washington","DC",20007
"448","3905 17TH PL NE","Washington","DC",20018
"449","3905 20TH ST NE","Washington","DC",20018
"450","3908 Q ST SE","Washington","DC",20020
"451","3916 13TH ST NW","Washington","DC",20011
"452","400 G ST NE","Washington","DC",20002
"453","4010 VEAZEY ST NW","Washington","DC",20016
"454","4015 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"455","4024 2ND ST SW","Washington","DC",20032
"456","4025 D ST SE","Washington","DC",20019
"457","4028 24TH ST NE","Washington","DC",20018
"458","403 R ST NW","Washington","DC",20001
"459","407 DELAFIELD PL NW","Washington","DC",20011
"460","407 KENTUCKY AVE SE","Washington","DC",20003
"461","408 QUACKENBOS ST NE","Washington","DC",20011
"462","410 E ST SE","Washington","DC",20003
"463","4100 5TH ST NW","Washington","DC",20011
"464","4103 13TH ST NE","Washington","DC",20017
"465","4105 12TH ST NE","Washington","DC",20017
"466","411 M ST NW","Washington","DC",20001
"467","4121 STANLEY ST SE","Washington","DC",20019
"468","413 FARRAGUT ST NW","Washington","DC",20011
"469","4131 18TH ST NE","Washington","DC",20018
"470","4142 22ND ST NE","Washington","DC",20018
"471","415 UPSHUR ST NW","Washington","DC",20011
"472","417 UPSHUR ST NW","Washington","DC",20011
"473","418 ELM ST NW","Washington","DC",20001
"474","4201 4TH ST NW","Washington","DC",20011
"475","4203 12TH ST NE","Washington","DC",20017
"476","4204 13TH PL NE","Washington","DC",20017
"477","4209 ILLINOIS AVE NW","Washington","DC",20011
"478","421 11TH ST NE","Washington","DC",20002
"479","4222 MATHEWSON DR NW","Washington","DC",20011
"480","4227 FORT DUPONT TER SE","Washington","DC",20020
"481","4245 NASH ST NE","Washington","DC",20019
"482","425 15TH ST SE","Washington","DC",20003
"483","425 20TH ST NE","Washington","DC",20002
"484","425 MARIETTA PL NW","Washington","DC",20011
"485","4254 BROOKS ST NE","Washington","DC",20019
"486","429 INGRAHAM ST NW","Washington","DC",20011
"487","429 MANOR PL NW","Washington","DC",20010
"488","429 RITTENHOUSE ST NW","Washington","DC",20011
"489","43 SHERIDAN ST NE","Washington","DC",20011
"490","43 UNDERWOOD ST NW","Washington","DC",20012
"491","4306 HAYES ST NE","Washington","DC",20019
"492","4307 3RD ST NW","Washington","DC",20011
"493","4317 12TH ST NE","Washington","DC",20017
"494","432 RANDOLPH ST NW","Washington","DC",20011
"495","4325 20TH ST NE","Washington","DC",20018
"496","4327 POLK ST NE","Washington","DC",20019
"497","4336 G ST SE","Washington","DC",20019
"498","4343 F ST SE","Washington","DC",20019
"499","4348 BLAGDEN AVE NW","Washington","DC",20011
"500","440 N ST NW","Washington","DC",20001
"501","4403 POLK ST NE","Washington","DC",20019
"502","4414 14TH ST NW","Washington","DC",20011
"503","4416 EDMUNDS ST NW","Washington","DC",20007
"504","4423 TEXAS AVE SE","Washington","DC",20019
"505","4425 KANE PL NE","Washington","DC",20019
"506","445 15TH ST NE","Washington","DC",20002
"507","445 JEFFERSON ST NW","Washington","DC",20011
"508","4450 DEXTER ST NW","Washington","DC",20007
"509","448 20TH ST NE","Washington","DC",20002
"510","4508 LEE ST NE","Washington","DC",20019
"511","4512 ARGYLE TER NW","Washington","DC",20011
"512","4516 8TH ST NW","Washington","DC",20011
"513","4516 BLAGDEN AVE NW","Washington","DC",20011
"514","4520 4TH ST NW","Washington","DC",20011
"515","4525 ARKANSAS AVE NW","Washington","DC",20011
"516","4535 WESTHALL DR NW","Washington","DC",20007
"517","4539 WESTHALL DR NW","Washington","DC",20007
"518","4564 ARGYLE TER NW","Washington","DC",20011
"519","4612 BASS PL SE","Washington","DC",20019
"520","4616 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"521","4624 9TH ST NW","Washington","DC",20011
"522","4625 12TH ST NE","Washington","DC",20017
"523","4626 4TH ST NW","Washington","DC",20011
"524","4707 SARGENT RD NE","Washington","DC",20017
"525","4715 BASS PL SE","Washington","DC",20019
"526","4723 4TH ST NW","Washington","DC",20011
"527","4754 6TH PL NE","Washington","DC",20017
"528","4807 B ST SE","Washington","DC",20019
"529","4808 7TH ST NW","Washington","DC",20011
"530","4808 ILLINOIS AVE NW","Washington","DC",20011
"531","4860 QUEENS CHAPEL TER NE","Washington","DC",20017
"532","4905 9TH ST NW","Washington","DC",20011
"533","4912 MINNESOTA AVE NE","Washington","DC",20019
"534","4917 FITCH PL NE","Washington","DC",20019
"535","4922 7TH ST NW","Washington","DC",20011
"536","4934 1ST ST NW","Washington","DC",20011
"537","4939 NASH ST NE","Washington","DC",20019
"538","4942 11TH ST NE","Washington","DC",20017
"539","5 V ST NW","Washington","DC",20001
"540","5008 BLAINE ST NE","Washington","DC",20019
"541","5014 5TH ST NW","Washington","DC",20011
"542","5014 ARKANSAS AVE NW","Washington","DC",20011
"543","5017 9TH ST NW","Washington","DC",20011
"544","5018 ILLINOIS AVE NW","Washington","DC",20011
"545","5018 SARGENT RD NE","Washington","DC",20017
"546","5020 5TH ST NW","Washington","DC",20011
"547","5020 6TH PL NE","Washington","DC",20017
"548","5028 SARGENT RD NE","Washington","DC",20017
"549","503 OAKWOOD ST SE","Washington","DC",20032
"550","5035 SARGENT RD NE","Washington","DC",20017
