ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
3415,"428 PEABODY ST NW, Washington, DC, 20011",Match,Exact,"428 Peabody St NW, WASHINGTON, DC, 20011","-77.01861,38.96269",76223357,L
1645,"1820 KILBOURNE PL NW, Washington, DC, 20010",Match,Exact,"1820 Kilbourne Pl NW, WASHINGTON, DC, 20010","-77.041794,38.93056",76222586,L
1640,"1820 16TH ST NW, Washington, DC, 20009",Match,Exact,"1820 16th St NW, WASHINGTON, DC, 20009","-77.03652,38.914684",76223186,L
2170,"239 MISSOURI AVE NW, Washington, DC, 20011",Match,Exact,"239 Missouri Ave NW, WASHINGTON, DC, 20011","-77.01518,38.956795",76223754,R
4015,"53 BUCHANAN ST NE, Washington, DC, 20011",Match,Exact,"53 Buchanan St NE, WASHINGTON, DC, 20011","-77.00729,38.947426",76223983,R
4940,"918 14TH ST SE, Washington, DC, 20003",Match,Exact,"918 14th St SE, WASHINGTON, DC, 20003","-76.98549,38.87953",76230886,L
3410,"427 JEFFERSON ST NW, Washington, DC, 20011",Match,Exact,"427 Jefferson St NW, WASHINGTON, DC, 20011","-77.018364,38.955433",76223407,R
4960,"923 S ST NW, Washington, DC, 20001",Match,Exact,"923 S St NW, WASHINGTON, DC, 20001","-77.024475,38.914104",76224359,R
3430,"431 6TH ST NE, Washington, DC, 20002",Match,Exact,"431 6th St NE, WASHINGTON, DC, 20002","-76.99843,38.89559",76229859,R
4010,"528 6TH ST SE, Washington, DC, 20003",Match,Exact,"528 6th St SE, WASHINGTON, DC, 20003","-76.998436,38.88247",76230601,L
3225,"403 12TH ST NE, Washington, DC, 20002",Match,Exact,"403 12th St NE, WASHINGTON, DC, 20002","-76.99023,38.894882",76230300,R
795,"136 16TH ST NE, Washington, DC, 20002",Match,Exact,"136 16th St NE, WASHINGTON, DC, 20002","-76.98223,38.891342",76230497,L
3015,"3607 CHESAPEAKE ST NW, Washington, DC, 20008",Match,Exact,"3607 Chesapeake St NW, WASHINGTON, DC, 20008","-77.070045,38.95074",76220517,R
2775,"3248 N ST NW, Washington, DC, 20007",Match,Exact,"3248 N St NW, WASHINGTON, DC, 20007","-77.06485,38.906815",76224899,L
790,"1358 LEVIS ST NE, Washington, DC, 20002",Match,Exact,"1358 Levis St NE, WASHINGTON, DC, 20002","-76.98342,38.904446",76230227,L
2780,"325 K ST NE, Washington, DC, 20002",Match,Exact,"325 K St NE, WASHINGTON, DC, 20002","-77.00164,38.9025",76229724,R
2180,"240 VAN BUREN ST NW, Washington, DC, 20012",Match,Exact,"240 Van Buren St NW, WASHINGTON, DC, 20012","-77.01518,38.969913",76222053,L
995,"1439 MADISON ST NW, Washington, DC, 20011",Match,Exact,"1439 Madison St NW, WASHINGTON, DC, 20011","-77.03409,38.958363",76222300,R
3020,"3609 VAN NESS ST NW, Washington, DC, 20008",Match,Exact,"3609 Van Ness St NW, WASHINGTON, DC, 20008","-77.069695,38.943176",76220558,R
990,"1437 PARKWOOD PL NW, Washington, DC, 20010",Match,Exact,"1437 Parkwood Pl NW, WASHINGTON, DC, 20010","-77.033394,38.93577",76222941,R
1635,"1817 4TH ST NW, Washington, DC, 20001",Match,Exact,"1817 4th St NW, WASHINGTON, DC, 20001","-77.0171,38.914547",76224451,R
3425,"4304 19TH ST NE, Washington, DC, 20018",Match,Exact,"4304 19th St NE, WASHINGTON, DC, 20018","-76.97833,38.941883",76229045,L
3230,"4031 MANSION DR NW, Washington, DC, 20007",Match,Exact,"4031 Mansion Dr NW, WASHINGTON, DC, 20007","-77.079315,38.91652",76239377,R
4955,"923 10TH ST NE, Washington, DC, 20002",Match,Exact,"923 10th St NE, WASHINGTON, DC, 20002","-76.99263,38.901623",76229800,R
2185,"2404 20TH ST NW, Washington, DC, 20009",Match,Exact,"2404 20th St NW, WASHINGTON, DC, 20009","-77.04689,38.920948",76244485,L
4950,"920 S ST NW, Washington, DC, 20001",Match,Exact,"920 S St NW, WASHINGTON, DC, 20001","-77.02444,38.914078",76224359,L
1630,"1816 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1816 Monroe St NW, WASHINGTON, DC, 20010","-77.04186,38.933273",76222574,L
4005,"527 2ND ST NE, Washington, DC, 20002",Match,Exact,"527 2nd St NE, WASHINGTON, DC, 20002","-77.003494,38.89647",76229808,R
2915,"3411 RODMAN ST NW, Washington, DC, 20008",Match,Exact,"3411 Rodman St NW, WASHINGTON, DC, 20008","-77.0682,38.9391",632575875,R
3640,"4613 ARKANSAS AVE NW, Washington, DC, 20011",Match,Exact,"4613 Arkansas Ave NW, WASHINGTON, DC, 20011","-77.03119,38.94632",76222462,R
785,"1355 TEWKESBURY PL NW, Washington, DC, 20012",Match,Exact,"1355 Tewkesbury Pl NW, WASHINGTON, DC, 20012","-77.03172,38.96829",76221651,R
2700,"3200 17TH ST NW, Washington, DC, 20010",Match,Exact,"3200 17th St NW, WASHINGTON, DC, 20010","-77.03887,38.93144",76222851,L
2705,"3203 DAVENPORT ST NW, Washington, DC, 20008",Match,Exact,"3203 Davenport St NW, WASHINGTON, DC, 20008","-77.06537,38.95188",76220645,R
1860,"2030 13TH ST NW, Washington, DC, 20009",Match,Exact,"2030 13th St NW, WASHINGTON, DC, 20009","-77.02964,38.917362",76224285,L
2910,"3409 N ST NW, Washington, DC, 20007",Match,Exact,"3409 N St NW, WASHINGTON, DC, 20007","-77.06796,38.906776",76224830,R
3440,"4316 12TH PL NE, Washington, DC, 20017",Match,Exact,"4316 12th Pl NE, WASHINGTON, DC, 20017","-76.98929,38.94201",76228312,L
4000,"526 24TH ST NE, Washington, DC, 20002",Match,Exact,"526 24th St NE, WASHINGTON, DC, 20002","-76.97267,38.896458",76231411,L
1670,"1830 15TH ST NW, Washington, DC, 20009",Match,Exact,"1830 15th St NW, WASHINGTON, DC, 20009","-77.03455,38.914936",76223181,L
1865,"2032 LINCOLN RD NE, Washington, DC, 20002",Match,Exact,"2032 Lincoln Rd NE, WASHINGTON, DC, 20002","-77.00709,38.91769",76224702,L
3435,"4310 4TH ST NW, Washington, DC, 20011",Match,Exact,"4310 4th St NW, WASHINGTON, DC, 20011","-77.017204,38.943333",76223628,L
2195,"2412 TRACY PL NW, Washington, DC, 20008",Match,Exact,"2412 Tracy Pl NW, WASHINGTON, DC, 20008","-77.053185,38.916275",76222639,L
2505,"3 W ST NW, Washington, DC, 20001",Match,Exact,"3 W St NW, WASHINGTON, DC, 20001","-77.009254,38.919186",76224674,R
1665,"1828 15TH ST NW, Washington, DC, 20009",Match,Exact,"1828 15th St NW, WASHINGTON, DC, 20009","-77.03455,38.914917",76223181,L
2500,"2959 TILDEN ST NW, Washington, DC, 20008",Match,Exact,"2959 Tilden St NW, WASHINGTON, DC, 20008","-77.060394,38.94098",76220778,R
3630,"4606 GREENE PL NW, Washington, DC, 20007",Match,Exact,"4606 Greene Pl NW, WASHINGTON, DC, 20007","-77.08787,38.908466",76224736,L
3050,"3628 EVERETT ST NW, Washington, DC, 20008",Match,Exact,"3628 Everett St NW, WASHINGTON, DC, 20008","-77.07037,38.95396",76237651,L
780,"1354 PENNSYLVANIA AVE SE, Washington, DC, 20003",Match,Exact,"1354 Pennsylvania Ave SE, WASHINGTON, DC, 20003","-76.98727,38.881054",76230872,L
