ID,Address,Match,MatchDetail,AddressMatch,LongLat,N,LR
1225,"1417 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1417 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98513,38.9048",76230148,R
1234,"1419 W ST NW, Washington, DC, 20009",Match,Exact,"1419 W St NW, WASHINGTON, DC, 20009","-77.03252,38.9192",76240557,R
1242,"1420 IRVING ST NE, Washington, DC, 20017",Match,Exact,"1420 Irving St NE, WASHINGTON, DC, 20017","-76.9856,38.92886",76228832,L
1255,"1421 NEW JERSEY AVE NW, Washington, DC, 20001",Match,Exact,"1421 New Jersey Ave NW, WASHINGTON, DC, 20001","-77.016106,38.909164",76226468,R
1263,"1423 3RD ST NW, Washington, DC, 20001",Match,Exact,"1423 3rd St NW, WASHINGTON, DC, 20001","-77.01517,38.90884",76226471,R
1270,"1424 OGLETHORPE ST NW, Washington, DC, 20011",Match,Exact,"1424 Oglethorpe St NW, WASHINGTON, DC, 20011","-77.03392,38.961033",76222272,L
1278,"1426 C ST NE, Washington, DC, 20002",Match,Exact,"1426 C St NE, WASHINGTON, DC, 20002","-76.984436,38.89359",76230442,L
1285,"1427 E ST NE, Washington, DC, 20002",Match,Exact,"1427 E St NE, WASHINGTON, DC, 20002","-76.98444,38.896095",76230435,R
1292,"1427 S ST SE, Washington, DC, 20020",Match,Exact,"1427 S St SE, WASHINGTON, DC, 20020","-76.98464,38.868214",76231145,R
1299,"1429 EAST CAPITOL ST SE, Washington, DC, 20003",Match,Exact,"1429 E Capitol St SE, WASHINGTON, DC, 20003","-76.98493,38.88979",76230493,R
1308,"1430 PERRY PL NW, Washington, DC, 20010",No_Match,,,"38.9364422,-77.036314",,
1320,"1431 PARKWOOD PL NW, Washington, DC, 20010",Match,Exact,"1431 Parkwood Pl NW, WASHINGTON, DC, 20010","-77.033295,38.93574",76222941,R
1327,"1433 FORT STEVENS DR NW, Washington, DC, 20011",No_Match,,,"38.9644411,-77.036478",,
1336,"1435 AMES PL NE, Washington, DC, 20002",Match,Exact,"1435 Ames Pl NE, WASHINGTON, DC, 20002","-76.98483,38.891453",76230489,R
1343,"1436 A ST NE, Washington, DC, 20002",Match,Exact,"1436 A St NE, WASHINGTON, DC, 20002","-76.9848,38.890945",76230491,L
1350,"1437 GIRARD ST NW, Washington, DC, 20009",Match,Exact,"1437 Girard St NW, WASHINGTON, DC, 20009","-77.0335,38.92544",76223001,R
1357,"1438 V ST SE, Washington, DC, 20020",Match,Exact,"1438 V St SE, WASHINGTON, DC, 20020","-76.98486,38.864925",76231113,L
1364,"1440 FLORIDA AVE NW, Washington, DC, 20009",Match,Exact,"1440 Florida Ave NW, WASHINGTON, DC, 20009","-77.03315,38.91979",76223158,L
1371,"1441 WHITTIER ST NW, Washington, DC, 20012",Match,Exact,"1441 Whittier St NW, WASHINGTON, DC, 20012","-77.0341,38.970734",76221596,R
1378,"1445 44TH ST NW, Washington, DC, 20007",Match,Exact,"1445 44th St NW, WASHINGTON, DC, 20007","-77.08057,38.90761",76224789,R
1385,"14491451 HOLBROOK ST NE, Washington, DC, 20002",No_Match,,,"38.9039122,-76.985161",,
1392,"1453 W ST NW, Washington, DC, 20009",Match,Exact,"1453 W St NW, WASHINGTON, DC, 20009","-77.033356,38.9192",76240557,R
1399,"1458 SPRING RD NW, Washington, DC, 20010",Match,Exact,"1458 Spring Rd NW, WASHINGTON, DC, 20010","-77.03444,38.937412",76222924,L
1407,"1461 CHAPIN ST NW, Washington, DC, 20009",Match,Exact,"1461 Chapin St NW, WASHINGTON, DC, 20009","-77.03393,38.921543",611113335,R
1415,"1467 GIRARD ST NW, Washington, DC, 20009",Match,Exact,"1467 Girard St NW, WASHINGTON, DC, 20009","-77.034355,38.92539",76223001,R
1423,"148 R ST NE, Washington, DC, 20002",Match,Exact,"148 R St NE, WASHINGTON, DC, 20002","-77.00482,38.912613",76228622,L
1430,"15 DUPONT CIR NW, Washington, DC, 20036",Match,Exact,"15 Dupont Cir NW, WASHINGTON, DC, 20036","-77.04263,38.90967",76225582,L
1441,"1501 ERIE ST SE, Washington, DC, 20020",Match,Exact,"1501 Erie St SE, WASHINGTON, DC, 20020","-76.985115,38.85734",76232443,L
1451,"1503 GALES ST NE, Washington, DC, 20002",Match,Exact,"1503 Gales St NE, WASHINGTON, DC, 20002","-76.983604,38.898808",76230413,R
1458,"1505 SPRING PL NW, Washington, DC, 20010",Match,Exact,"1505 Spring Pl NW, WASHINGTON, DC, 20010","-77.03499,38.936737",76242875,R
1467,"1507 CAROLINE ST NW, Washington, DC, 20009",Match,Exact,"1507 Caroline St NW, WASHINGTON, DC, 20009","-77.034744,38.916306",76223170,R
1475,"1508-1512 21ST ST NW, Washington, DC, 20036",Match,Exact,"1508 21st St NW, WASHINGTON, DC, 20036","-77.04665,38.910034",611235186,L
1482,"1509 U ST SE, Washington, DC, 20020",Match,Exact,"1509 U St SE, WASHINGTON, DC, 20020","-76.98329,38.865517",76231189,R
1492,"1510 WEBSTER ST NW, Washington, DC, 20011",Match,Exact,"1510 Webster St NW, WASHINGTON, DC, 20011","-77.03479,38.943985",76222402,L
1499,"1512 16TH ST SE, Washington, DC, 20020",Match,Exact,"1512 16th St SE, WASHINGTON, DC, 20020","-76.98221,38.87125",76231134,L
