ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
747,"1309 EAST CAPITOL ST SE, Washington, DC, 20003",Match,Exact,"1309 E Capitol St SE, WASHINGTON, DC, 20003","-76.987976,38.88979",632575650,R
758,"131 NORTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"131 North Carolina Ave SE, WASHINGTON, DC, 20003","-77.00473,38.8839",76238829,R
767,"1310 S ST SE, Washington, DC, 20020",Match,Exact,"1310 S St SE, WASHINGTON, DC, 20020","-76.98679,38.868244",76231137,L
776,"1311 JACKSON ST NE, Washington, DC, 20017",Match,Exact,"1311 Jackson St NE, WASHINGTON, DC, 20017","-76.98811,38.9297",76228766,R
790,"1313 EMERALD ST NE, Washington, DC, 20002",Match,Exact,"1313 Emerald St NE, WASHINGTON, DC, 20002","-76.98786,38.896706",76230328,R
797,"1314 SHEPHERD ST NW, Washington, DC, 20011",Match,Exact,"1314 Shepherd St NW, WASHINGTON, DC, 20011","-77.03024,38.939728",76222491,L
806,"1316 CORBIN PL NE, Washington, DC, 20002",Match,Exact,"1316 Corbin Pl NE, WASHINGTON, DC, 20002","-76.987976,38.894203",76230347,L
813,"1317 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1317 Constitution Ave NE, WASHINGTON, DC, 20002","-76.98781,38.892",76230387,R
822,"1319 DELAFIELD PL NW, Washington, DC, 20011",Match,Exact,"1319 Delafield Pl NW, WASHINGTON, DC, 20011","-77.03033,38.949017",76238316,R
829,"132 RHODE ISLAND AVE NW, Washington, DC, 20001",Match,Exact,"132 Rhode Island Ave NW, WASHINGTON, DC, 20001","-77.01356,38.915222",76224636,L
836,"1320 LEVIS ST NE, Washington, DC, 20002",Match,Exact,"1320 Levis St NE, WASHINGTON, DC, 20002","-76.98417,38.904766",76230219,L
843,"1321 EMERALD ST NE, Washington, DC, 20002",Match,Exact,"1321 Emerald St NE, WASHINGTON, DC, 20002","-76.987656,38.896706",76230328,R
854,"1322 UPSHUR ST NW, Washington, DC, 20011",No_Match,,,"-77.0327947,38.9415551",,
861,"1323 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1323 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.98752,38.886147",76230855,R
868,"1325 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1325 Sheridan St NW, WASHINGTON, DC, 20011","-77.0307,38.966145",76221643,R
880,"1327 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1327 Constitution Ave NE, WASHINGTON, DC, 20002","-76.987526,38.892",76230387,R
889,"1328 MASSACHUSETTS AVE SE, Washington, DC, 20003",Match,Exact,"1328 Massachusetts Ave SE, WASHINGTON, DC, 20003","-76.98747,38.88869",76230399,L
896,"1329 I ST NE, Washington, DC, 20002",Match,Exact,"1329 I St NE, WASHINGTON, DC, 20002","-76.987854,38.901306",76230157,R
904,"1330 VERMONT AVE NW, Washington, DC, 20005",No_Match,,,"-77.0329107,38.9085822",,
912,"1333 C ST NE, Washington, DC, 20002",Match,Exact,"1333 C St NE, WASHINGTON, DC, 20002","-76.98666,38.89356",76230349,R
921,"1334 RANDOLPH ST NW, Washington, DC, 20011",Match,Exact,"1334 Randolph St NW, WASHINGTON, DC, 20011","-77.0308,38.938667",76222493,L
929,"1336 CORCORAN ST NW, Washington, DC, 20009",Match,Exact,"1336 Corcoran St NW, WASHINGTON, DC, 20009","-77.03051,38.911854",76226048,L
936,"1337 28TH ST NW, Washington, DC, 20007",Match,Exact,"1337 28th St NW, WASHINGTON, DC, 20007","-77.05705,38.907856",76225000,R
944,"1338 KEARNY ST NE, Washington, DC, 20017",Match,Non_Exact,"1338 Kearney St NE, WASHINGTON, DC, 20017","-76.9876,38.93074",76228764,L
951,"1340 29TH ST NW, Washington, DC, 20007",Match,Exact,"1340 29th St NW, WASHINGTON, DC, 20007","-77.05817,38.90785",76224991,L
960,"1340 VALLEY PL SE, Washington, DC, 20020",Match,Exact,"1340 Valley Pl SE, WASHINGTON, DC, 20020","-76.987526,38.862984",76231099,L
971,"1342 PERRY PL NW, Washington, DC, 20010",Match,Exact,"1342 Perry Pl NW, WASHINGTON, DC, 20010","-77.031685,38.93597",76222953,L
980,"1344 OAK ST NW, Washington, DC, 20010",Match,Exact,"1344 Oak St NW, WASHINGTON, DC, 20010","-77.031715,38.93384",76222967,L
987,"1345 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1345 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.98642,38.88644",624065523,R
994,"1346 MONROE ST NE, Washington, DC, 20017",Match,Exact,"1346 Monroe St NE, WASHINGTON, DC, 20017","-76.98759,38.932724",76228740,L
1001,"1347 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1347 Monroe St NW, WASHINGTON, DC, 20010","-77.031395,38.93181",76222979,R
1011,"1349 QUINCY ST NW, Washington, DC, 20011",Match,Exact,"1349 Quincy St NW, WASHINGTON, DC, 20011","-77.03119,38.93762",76222949,R
1018,"135 WILMINGTON PL SE, Washington, DC, 20032",Match,Exact,"135 Wilmington Pl SE, WASHINGTON, DC, 20032","-77.00289,38.83613",76244036,L
1027,"1351 A ST NE, Washington, DC, 20002",Match,Exact,"1351 A St NE, WASHINGTON, DC, 20002","-76.986465,38.89092",76230386,R
1034,"1352 BARNABY TER SE, Washington, DC, 20032",Match,Exact,"1352 Barnaby Ter SE, WASHINGTON, DC, 20032","-76.988495,38.833637",76236728,L
1043,"1353 K ST SE, Washington, DC, 20003",Match,Exact,"1353 K St SE, WASHINGTON, DC, 20003","-76.98683,38.878384",76230926,R
1052,"1355 OAK ST NW, Washington, DC, 20010",Match,Exact,"1355 Oak St NW, WASHINGTON, DC, 20010","-77.03188,38.93387",76222967,R
1061,"1357 RITTENHOUSE ST NW, Washington, DC, 20011",Match,Exact,"1357 Rittenhouse St NW, WASHINGTON, DC, 20011","-77.0318,38.96545",76221645,R
1068,"136 KENTUCKY AVE SE, Washington, DC, 20003",Match,Exact,"136 Kentucky Ave SE, WASHINGTON, DC, 20003","-76.98923,38.888603",76230375,L
